gid,depth,is_seed,in_deg,in_sum,in_tx,out_deg,out_sum,out_tx,pass_ratio,truncated,inflow_incomplete,seed_payers,seed_reach,fast_share,max_payers_same_day,active_days,pagerank,betweenness,component,role,role_score,evidence,cluster_id,c_role,c_money,c_seed,c_central,priority_score
100000000343175100,0,True,8,178712.0,14,31,4000039.0,33,22.382598818210305,False,True,1,7,0.9692242266887506,2,13,0.000713258197938405,0.0005015559369254997,0,coordinator,0.69,"Признаки координации: получает от 8 плательщиков (179 тыс ₸), рассылает 31 получателям (4,0 млн ₸) (seed: входящие неполны)",13,0.69,0.9897686832740213,0.5433718861209964,0.9486209964412811,0.6538
100000000456947100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,16,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000000580561100,0,True,2,27980.0,3,3,1488077.0,13,53.183595425303785,False,True,0,0,1.0,1,12,0.0008349888856684653,2.6767693891790706e-06,4,peripheral,0.8,"Признаков роли не выявлено: вход 2 (28 тыс ₸), выход 3 (1,5 млн ₸) (seed: входящие неполны)",35,0.08000000000000002,0.9537366548042705,0.0,0.8609875444839858,0.3335
100000001415126100,0,True,1,27000.0,1,0,0.0,0,0.0,False,True,0,7,0.0,1,1,0.00040961890543080487,0.0,0,peripheral,0.9,"Признаков роли не выявлено: вход 1 (27 тыс ₸), выход 0 (0 ₸) (seed: входящие неполны)",16,0.09000000000000001,0.28536476868327404,0.5433718861209964,0.5490435943060499,0.2258
100000001429930100,0,True,1,26000.0,1,0,0.0,0,0.0,False,True,0,7,0.0,1,1,0.00035079789147407785,0.0,0,peripheral,0.9,"Признаков роли не выявлено: вход 1 (26 тыс ₸), выход 0 (0 ₸) (seed: входящие неполны)",17,0.09000000000000001,0.2713523131672598,0.5433718861209964,0.505894128113879,0.2146
100000001616816100,0,True,5,176195.0,12,3,181326.0,10,1.0291211441868384,False,True,0,10,0.8751383410425948,1,12,0.002434657190684458,6.160659886581994e-05,0,consolidator,0.5,"Признаки консолидации: получает от 5 разных плательщиков, 176 тыс ₸, отдаёт дальше 103% полученного",9,0.425,0.8073843416370107,0.9612989323843416,0.9670818505338079,0.6069
100000001732159100,0,True,2,2378100.0,30,4,1505966.0,23,0.633264370716118,False,True,2,9,0.8700643370758169,2,18,0.0010950567872996843,1.073513406549916e-05,0,peripheral,0.8,"Признаков роли не выявлено: вход 2 (2,4 млн ₸), выход 4 (1,5 млн ₸) (seed: входящие неполны)",14,0.08000000000000002,0.9879893238434164,0.9094750889679716,0.9016903914590748,0.5159
100000002527114100,0,True,3,129000.0,4,111,3289249.0,113,25.49805426356589,False,True,0,0,1.0,1,25,0.0008111056953132627,0.00019629642187313183,1,distributor,0.991,"Веерное распределение: 111 получателей, 3,3 млн ₸, отдаёт дальше 2550% полученного (seed: входящие неполны)",5,0.7928000000000001,0.9862099644128114,0.0,0.9506227758007118,0.5866
100000002916006100,0,True,0,0.0,0,1,32000.0,1,,False,True,0,0,0.0,0,1,0.0002855692942172909,0.0,0,peripheral,0.95,"Признаков роли не выявлено: вход 0 (0 ₸), выход 1 (32 тыс ₸) (seed: входящие неполны)",16,0.095,0.327846975088968,0.0,0.19684163701067617,0.0726
100000003016635100,0,True,8,586981.0,36,73,9414081.0,151,16.038135817002594,False,True,0,6,1.0,3,21,0.0011896363343877673,0.0032481208463081253,0,coordinator,0.778,"Признаки координации: получает от 8 плательщиков (587 тыс ₸), рассылает 73 получателям (9,4 млн ₸) (seed: входящие неполны)",2,0.778,0.9986654804270463,0.29070284697508897,0.9808718861209964,0.6436
100000003200071100,0,True,0,0.0,0,1,30000.0,1,,False,True,0,0,0.0,0,1,0.0002855692942172909,0.0,14,peripheral,0.95,"Признаков роли не выявлено: вход 0 (0 ₸), выход 1 (30 тыс ₸) (seed: входящие неполны)",46,0.095,0.3082740213523132,0.0,0.19684163701067617,0.0682
100000003265658100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,17,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000003349739100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,18,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000003684369100,0,True,24,3848436.0,58,62,8588655.0,67,2.2317260830113845,False,True,1,9,0.9941534690975763,6,16,0.0020202912084868667,0.0016560890888261326,0,coordinator,0.936,"Признаки координации: получает от 24 плательщиков (3,8 млн ₸), рассылает 62 получателям (8,6 млн ₸) (seed: входящие неполны)",8,0.936,0.9991103202846975,0.9094750889679716,0.9913256227758007,0.8101
100000003770083100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,19,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000003975102100,0,True,1,25650.0,1,2,88500.0,2,3.4502923976608186,False,True,0,7,1.0,1,3,0.0003454652180169808,1.558325912733749e-06,0,peripheral,0.9,"Признаков роли не выявлено: вход 1 (26 тыс ₸), выход 2 (88 тыс ₸) (seed: входящие неполны)",2,0.09000000000000001,0.6076512455516014,0.5433718861209964,0.697508896797153,0.3271
100000003977183100,0,True,2,123800.0,2,4,766000.0,6,6.187399030694669,False,True,1,1,0.6623586429725363,1,6,0.000331460381699444,0.0,0,peripheral,0.8,"Признаков роли не выявлено: вход 2 (124 тыс ₸), выход 4 (766 тыс ₸) (seed: входящие неполны)",9,0.08000000000000002,0.9177046263345195,0.14768683274021352,0.48187277580071175,0.2827
100000004007116100,0,True,3,764704.0,24,4,148000.0,6,0.19353893794200108,False,True,0,0,0.32096602083943593,1,18,0.0006277769573248428,0.0,2,terminal,0.981,"Конечный получатель: 765 тыс ₸ от 3 плательщиков, дальше уходит 19% (колено 0)",24,0.44145,0.9199288256227758,0.0,0.6384564056939502,0.4011
100000004019124100,0,True,3,193000.0,3,0,0.0,0,0.0,False,True,2,11,0.0,1,3,0.0012028680902033705,0.0,0,terminal,0.891,"Конечный получатель: 193 тыс ₸ от 3 плательщиков, исходящих нет (колено 0)",2,0.40095000000000003,0.7019572953736655,0.9922153024911032,0.6740435943060499,0.5268
100000004021459100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,20,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000004041163100,0,True,1,50000.0,1,2,866000.0,6,17.32,False,True,1,14,1.0,1,5,0.0020847480556725213,1.1576135351736421e-05,0,peripheral,0.9,"Признаков роли не выявлено: вход 1 (50 тыс ₸), выход 2 (866 тыс ₸) (seed: входящие неполны)",16,0.09000000000000001,0.9217081850533808,0.9993327402135231,0.9199288256227758,0.5238
100000004174835100,0,True,0,0.0,0,0,0.0,0,,False,True,0,0,0.0,0,0,0.0002855692942172909,0.0,21,peripheral,1.0,Нет переводов ≥5 000 ₸ в выгрузке (seed),0,0.1,0.004448398576512456,0.0,0.19684163701067617,0.0
100000004193835100,0,True,1,47000.0,1,1,5000.0,1,0.10638297872340426,False,True,0,7,0.0,1,1,0.00046993013969558515,2.226179875333927e-06,0,peripheral,0.9,"Признаков роли не выявлено: вход 1 (47 тыс ₸), выход 1 (5 тыс ₸) (seed: входящие неполны)",2,0.09000000000000001,0.4432829181494662,0.5433718861209964,0.7696841637010676,0.3026
100000004269433100,0,True,0,0.0,0,1,1372000.0,67,,False,True,0,0,0.0,0,16,0.0002855692942172909,0.0,0,peripheral,0.95,"Признаков роли не выявлено: вход 0 (0 ₸), выход 1 (1,4 млн ₸) (seed: входящие неполны)",13,0.095,0.9466192170818505,0.0,0.19684163701067617,0.2147
100000004358004100,0,True,0,0.0,0,11,980850.0,17,,False,True,0,0,0.0,0,12,0.0002855692942172909,0.0,0,distributor,0.519,"Веерное распределение: 11 получателей, 981 тыс ₸ (seed: входящие неполны)",8,0.4152,0.9243772241992882,0.0,0.19684163701067617,0.3125
