rank,gid,role,priority_score,why
1,100000008165763100,coordinator,1.0,"Координатор (уверенность 0.73): Признаки координации: получает от 15 плательщиков (1,2 млн ₸), рассылает 17 получателям (1,3 млн ₸).; Деньги от 9 seed доходят до узла по цепочкам; оборот 2,4 млн ₸; центральность выше, чем у 96% узлов; 92% входящих уходит дальше за ≤2 дня; до 4 плательщиков в один день"
2,100000008603629100,coordinator,0.994,"Координатор (уверенность 0.90): Признаки координации: получает от 19 плательщиков (1,8 млн ₸), рассылает 61 получателям (5,0 млн ₸).; Деньги от 7 seed доходят до узла по цепочкам; оборот 6,8 млн ₸; центральность выше, чем у 98% узлов; 100% входящих уходит дальше за ≤2 дня; до 4 плательщиков в один день"
3,100000003115284100,consolidator,0.9833,"Консолидатор (уверенность 0.75): Признаки консолидации: получает от 8 разных плательщиков (из них seed: 2), 2,2 млн ₸, отдаёт дальше 24% полученного.; Деньги от 11 seed доходят до узла по цепочкам; оборот 2,7 млн ₸; центральность выше, чем у 96% узлов; 99% входящих уходит дальше за ≤2 дня; до 7 плательщиков в один день"
4,100000004015047100,consolidator,0.9799,"Консолидатор (уверенность 0.84): Признаки консолидации: получает от 9 разных плательщиков (из них seed: 3), 919 тыс ₸, отдаёт дальше 8% полученного.; Деньги от 11 seed доходят до узла по цепочкам; оборот 988 тыс ₸; центральность выше, чем у 89% узлов"
5,100000002398779100,consolidator,0.9395,"Консолидатор (уверенность 0.81): Признаки консолидации: получает от 13 разных плательщиков, 1,1 млн ₸, отдаёт дальше 6% полученного.; Деньги от 8 seed доходят до узла по цепочкам; оборот 1,2 млн ₸; центральность выше, чем у 91% узлов; до 7 плательщиков в один день"
6,100000008477350100,coordinator,0.9318,"Координатор (уверенность 0.76): Признаки координации: получает от 11 плательщиков (610 тыс ₸), рассылает 39 получателям (3,4 млн ₸).; Деньги от 7 seed доходят до узла по цепочкам; оборот 4,0 млн ₸; центральность выше, чем у 97% узлов; 64% входящих уходит дальше за ≤2 дня"
7,100000008489922100,distributor,0.9276,"Распределитель (уверенность 0.76): Веерное распределение: 36 получателей, 3,8 млн ₸, отдаёт в 14.5× больше видимого входа — есть внешние источники.; Деньги от 8 seed доходят до узла по цепочкам; оборот 4,1 млн ₸; центральность выше, чем у 93% узлов; 100% входящих уходит дальше за ≤2 дня"
8,100000000331309100,coordinator,0.9218,"Координатор (уверенность 0.73): Признаки координации: получает от 5 плательщиков (985 тыс ₸), рассылает 99 получателям (23,0 млн ₸).; Деньги от 7 seed доходят до узла по цепочкам; оборот 24,0 млн ₸; центральность выше, чем у 97% узлов; 100% входящих уходит дальше за ≤2 дня; до 3 плательщиков в один день"
9,100000000437046100,coordinator,0.9215,"Координатор (уверенность 0.74): Признаки координации: получает от 9 плательщиков (1,1 млн ₸), рассылает 42 получателям (7,6 млн ₸).; Деньги от 7 seed доходят до узла по цепочкам; оборот 8,7 млн ₸; центральность выше, чем у 96% узлов; 86% входящих уходит дальше за ≤2 дня; до 3 плательщиков в один день"
10,100000008547948100,coordinator,0.9199,"Координатор (уверенность 0.63): Признаки координации: получает от 6 плательщиков (213 тыс ₸), рассылает 26 получателям (5,2 млн ₸).; Деньги от 8 seed доходят до узла по цепочкам; оборот 5,4 млн ₸; центральность выше, чем у 86% узлов; 100% входящих уходит дальше за ≤2 дня; до 4 плательщиков в один день"
